Top Level,Current Testing Node,Matching Keys,Non Matching Keys,Status
business_capabilities,business_capabilities,['Description'],,Pass
services,services,['Description'],,Pass
it_towers,it_towers,"['Description', u'Children']",,Pass
it_towers,data_center,"['Description', u'Children']",,Pass
it_towers,other_facilities,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,ent_data_center,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,delivery,"['Description', u'Children']",,Pass
it_towers,ops_center,"[u'Unit of Measure List', 'Description']",,Pass
it_towers,client_mgmt,,['Description'],Fail
it_towers,project_mgmt,"[u'Unit of Measure List', 'Description']",,Pass
it_towers,cloud_ops,"[u'Unit of Measure List', 'Description']",,Pass
it_towers,compute,"['Description', u'Children']",,Pass
it_towers,windows,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,mainframe_middleware,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,linux,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,middleware,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,database,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,cloud_platform,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,converged_infra,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,mainframe,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,cloud_linux,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,unix,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,cloud_windows,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,mainframe_db,"[u'Unit of Measure List', 'Description']",,Pass
it_towers,it_mgmt,"['Description', u'Children']",,Pass
it_towers,it_mgmt_strategic_planning,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,ent_arch,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,it_vendor_mgmt,"[u'Unit of Measure List', 'Description']",,Pass
it_towers,it_finance,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,security_compliance,"['Description', u'Children']",,Pass
it_towers,security,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,compliance,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,disaster_recovery,"['Description', u'Examples']",,Pass
it_towers,cloud_dr,"['Description', u'Examples']",,Pass
it_towers,communication,"['Description', u'Children']",,Pass
it_towers,circuits,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,usage,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
it_towers,output,"['Description', u'Children']",,Pass
it_towers,post_processing,"[u'Unit of Measure List', 'Description', u'Examples']",,Pass
