keyvalue,imagepresent,cloudimage,children,childrenstatus,finalstatus
business_capabilities,Pass,Pass,No children present in json and application,Pass,Pass
services,Pass,Pass,No children present in json and application,Pass,Pass
it_towers,Pass,Pass,"[u'data_center', u'delivery', u'compute', u'it_mgmt', u'security_compliance', u'communication', u'output', u'storage', u'network', u'end_user', u'application']",Pass,Pass
data_center,Pass,Pass,"[u'other_facilities', u'ent_data_center']",Pass,Pass
other_facilities,Pass,Pass,No children present in json and application,Pass,Pass
ent_data_center,Pass,Pass,No children present in json and application,Pass,Pass
delivery,Pass,Pass,"[u'ops_center', u'client_mgmt', u'project_mgmt', u'cloud_ops']",Pass,Pass
ops_center,Pass,Pass,No children present in json and application,Pass,Pass
client_mgmt,Pass,Pass,No children present in json and application,Pass,Pass
project_mgmt,Pass,Pass,No children present in json and application,Pass,Pass
cloud_ops,Pass,Pass,No children present in json and application,Pass,Pass
compute,Pass,Pass,"[u'windows', u'mainframe_middleware', u'linux', u'middleware', u'database', u'cloud_platform', u'converged_infra', u'mainframe', u'cloud_linux', u'unix', u'cloud_windows', u'mainframe_db']",Pass,Pass
windows,Pass,Pass,No children present in json and application,Pass,Pass
mainframe_middleware,Pass,Pass,No children present in json and application,Pass,Pass
linux,Pass,Pass,No children present in json and application,Pass,Pass
middleware,Pass,Pass,No children present in json and application,Pass,Pass
database,Pass,Pass,No children present in json and application,Pass,Pass
cloud_platform,Pass,Pass,No children present in json and application,Pass,Pass
converged_infra,Pass,Pass,No children present in json and application,Pass,Pass
mainframe,Pass,Pass,No children present in json and application,Pass,Pass
cloud_linux,Pass,Pass,No children present in json and application,Pass,Pass
unix,Pass,Pass,No children present in json and application,Pass,Pass
cloud_windows,Pass,Pass,No children present in json and application,Pass,Pass
mainframe_db,Pass,Pass,No children present in json and application,Pass,Pass
it_mgmt,Pass,Pass,"[u'it_mgmt_strategic_planning', u'ent_arch', u'it_vendor_mgmt', u'it_finance']",Pass,Pass
it_mgmt_strategic_planning,Pass,Pass,No children present in json and application,Pass,Pass
ent_arch,Pass,Pass,No children present in json and application,Pass,Pass
it_vendor_mgmt,Pass,Pass,No children present in json and application,Pass,Pass
it_finance,Pass,Pass,No children present in json and application,Pass,Pass
security_compliance,Pass,Pass,"[u'security', u'compliance', u'disaster_recovery', u'cloud_dr']",Pass,Pass
security,Pass,Pass,No children present in json and application,Pass,Pass
compliance,Pass,Pass,No children present in json and application,Pass,Pass
disaster_recovery,Pass,Pass,No children present in json and application,Pass,Pass
cloud_dr,Pass,Pass,No children present in json and application,Pass,Pass
communication,Pass,Pass,"[u'circuits', u'usage']",Pass,Pass
circuits,Pass,Pass,No children present in json and application,Pass,Pass
usage,Pass,Pass,No children present in json and application,Pass,Pass
output,Pass,Pass,"[u'post_processing', u'central_print']",Pass,Pass
post_processing,Pass,Pass,No children present in json and application,Pass,Pass
central_print,Pass,Pass,No children present in json and application,Pass,Pass
storage,Pass,Pass,"[u'tier_2', u'cloud_storage', u'tier_4', u'cloud_archive', u'tier_3', u'tier_1']",Pass,Pass
tier_2,Pass,Pass,No children present in json and application,Pass,Pass
cloud_storage,Pass,Pass,No children present in json and application,Pass,Pass
